misc,input,animations,measure,draw,sync,gpu,timestamp
32.615513,0.003692,2.143923,0.189154,1.007731,0.720538,6.89627,136450585473543
0.904919,0.003885,1.725846,0.167923,0.9815,0.761077,5.361731,136450635194483
1.212626,0.003692,1.771038,0.175847,0.754807,0.836039,7.171038,136450651768507
8.637223,0.003923,1.431231,0.182192,0.861731,0.756423,5.327577,136450668377025
0.528093,0.003654,1.651808,0.187538,0.878039,0.749115,5.415154,136450684919424
1.859713,0.004039,1.960769,0.154692,0.906308,0.947,5.139346,136450701493227
0.802606,0.00377,24.344923,7.583269,3.522115,0.815731,7.5485,136450718107757
20.776626,0.002462,7.363615,0.211423,2.365423,1.210654,6.639154,136450734683545
0.717814,0.004885,6.915884,0.220231,2.422269,1.046231,15.000346,136450767808203
0.881127,0.004654,7.399885,0.227385,3.060192,1.127384,11.314385,136450784382659
0.0,0.0,0.0,0.0,9.268306,0.879731,6.43273,136450800954673
0.665306,0.004307,8.587962,0.243077,8.485654,0.8905,10.137423,136450800954673
0.0,0.0,0.0,0.0,4.753781,0.798423,7.9845,136450834068082
0.0,0.0,0.0,0.0,4.744268,0.858808,8.788538,136450850628903
0.0,0.0,0.0,0.0,5.530183,0.756307,7.143154,136450867200719
0.0,0.0,0.0,0.0,5.554289,0.881539,8.608577,136450883768151
0.0,0.0,0.0,0.0,6.76457,1.121115,6.626885,136450900330255
0.0,0.0,0.0,0.0,4.735418,1.020692,8.476347,136450916890176
0.0,0.0,0.0,0.0,5.18575,0.968615,8.748193,136450933455575
0.0,0.0,0.0,0.0,4.904035,0.868346,6.764846,136450950021213
0.0,0.0,0.0,0.0,4.850806,1.130885,6.929269,136450966590326
0.0,0.0,0.0,0.0,4.672142,0.874346,5.511923,136450983142298
0.0,0.0,0.0,0.0,4.82342,0.751731,6.310423,136450999709174
0.0,0.0,0.0,0.0,5.33969,0.976462,6.768577,136451016311250
0.0,0.0,0.0,0.0,5.175824,0.857654,6.709808,136451032875270
0.0,0.0,0.0,0.0,4.777089,0.889731,5.550231,136451049437774
0.0,0.0,0.0,0.0,4.903837,0.9905,6.37573,136451066040719
0.0,0.0,0.0,0.0,5.259901,1.503654,6.234115,136451082612462
0.0,0.0,0.0,0.0,4.914933,1.044,6.7515,136451099202007
0.611326,0.005077,9.99077,0.289846,5.282923,1.369846,7.494,136451115775729
0.964404,0.004116,9.329846,0.277154,3.435731,1.167,6.255576,136451132351728
1.836337,0.004423,7.822885,0.291231,3.382846,1.259961,6.768,136451148926949
1.550585,0.004807,14.913769,0.379847,3.583538,1.026423,5.764654,136451165515894
15.879256,0.004577,4.896653,0.262539,18.897769,1.212346,7.689923,136451182089069
7.885322,0.002807,2.00327,0.193384,7.754192,3.338385,8.040346,136451215233003
4.736982,0.012808,6.473,0.251308,4.344846,1.483077,11.576808,136451231803996
2.459663,0.003577,8.835769,0.22777,3.7585,1.739038,11.163346,136451248383546
0.500909,0.004539,9.47623,0.2215,3.089731,1.289923,7.345616,136451264958454
0.514493,0.004346,9.454731,0.205346,2.190923,1.154885,7.652231,136451281548216
0.518493,0.004731,9.108923,0.198693,2.291307,1.009731,6.581692,136451298115985
0.743354,0.004615,9.169462,0.1935,2.225038,1.202346,8.302808,136451314691163
