Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration,GpuCompleted
0,136443889812687,136443889812687,9223372036854775807,0,136443890418330,136443890422830,136443899034714,136443899285791,136443899582253,136443900527599,136443902252984,136443913053561,136443915743714,330038,637923,136443927453099
0,136443922958874,136443922958874,9223372036854775807,0,136443923540638,136443923545368,136443932945291,136443933181984,136443933485907,136443934271714,136443936102753,136443949536638,136443952344176,372153,689539,136443963985484
0,136443956107204,136443956107204,9223372036854775807,0,136443957604445,136443957608868,136443966263791,136443966471291,136443966757945,136443967650791,136443969576945,136443980060676,136443982625599,333577,592231,136443994433022
0,136443989252950,136443989252950,9223372036854775807,0,136443990116676,136443990120445,136443998427176,136443998627907,136443998896830,136443999667214,136444001284714,136444011018022,136444013661984,337923,638538,136444025485214
0,136444022400358,136444022400358,9223372036854775807,0,136444022955099,136444022959445,136444031879099,136444032178522,136444032490714,136444033320099,136444035096291,136444045558522,136444048412176,292884,800615,136444059969407
0,136444055571897,136444055571897,9223372036854775807,0,136444057333868,136444057338407,136444065274637,136444065516561,136444065822753,136444067648061,136444069806637,136444080903022,136444083359830,329000,525538,136444095398060
0,136444088716161,136444088716161,9223372036854775807,0,136444089217291,136444089232676,136444098069637,136444098239791,136444098506253,136444099318522,136444101216560,136444111448330,136444114024330,306692,581231,136444125915022
0,136444121861105,136444121861105,9223372036854775807,0,136444123098214,136444123101791,136444131760022,136444131951560,136444132279868,136444133005791,136444134603637,136444144705176,136444147544599,282654,762846,136444159091753
0,136444155006597,136444155006597,9223372036854775807,0,136444155508599,136444155520945,136444164391060,136444164589022,136444164835445,136444165656907,136444167319637,136444177607368,136444180350868,322384,687808,136444192105560
0,136444188157371,136444188157371,9223372036854775807,0,136444188683445,136444188687176,136444197986983,136444198192407,136444198453291,136444199172522,136444200833291,136444210840330,136444213744483,323192,864269,136444225277407
0,136444221302658,136444221302658,9223372036854775807,0,136444221790791,136444221794483,136444231341983,136444231548791,136444231811714,136444232841637,136444234577791,136444245144599,136444247964060,332230,669961,136444259600714
0,136444254445687,136444254445687,9223372036854775807,0,136444254947676,136444254951099,136444264747099,136444264957560,136444265247099,136444266337291,136444267887330,136444279213137,136444281745253,411654,573731,136444293636445
0,136444287598569,136444287598569,9223372036854775807,0,136444288200907,136444288204483,136444297017483,136444297215945,136444297484599,136444298179253,136444299692060,136444309710022,136444312338137,335423,661462,136444324113291
0,136444320740192,136444320740192,9223372036854775807,0,136444321364214,136444321367714,136444329955599,136444330156099,136444330421291,136444331380022,136444333336330,136444343101906,136444345646906,353269,598307,136444357479676
0,136444353883256,136444353883256,9223372036854775807,0,136444354563406,136444354567291,136444363244560,136444363416830,136444363712406,136444364542791,136444366078483,136444376162868,136444378689945,287423,577962,136444390612830
0,136444387025389,136444387025389,9223372036854775807,0,136444387683945,136444387688676,136444396261368,136444396457253,136444396722522,136444397451060,136444399034330,136444409000137,136444411848099,301077,809692,136444423412637
0,136444420185803,136444420185803,9223372036854775807,0,136444420749099,136444420753483,136444429522637,136444429777560,136444430105676,136444430957483,136444433092406,136444443170099,136444445646945,639846,534808,136444457697637
0,136444453325006,136444453325006,9223372036854775807,0,136444453810099,136444453813599,136444464145099,136444464331637,136444464600329,136444465806176,136444467692791,136444480531291,136444482991945,664577,537000,136444494875445
